CASEID	A1CURFOR	CURRENT	FORMER	A6QUALS1	A7GENED	A8ABEGTR	A8CBGPCR	C12STPCR	C13STOP1	F13STOP1	F15BMSCH	F12AEXFN	F12BFNCR
165	2	D	1	4	4	7	23	  D	 D	3	1	37	35
166	2	D	1	1	2	12	  D	  D	 D	9	D	37	  D
167	2	D	1	8	6	14	18	  D	 D	3	6	36	26
168	2	D	1	4	2	12	23	  D	 D	4	3	35	37
169	2	D	1	1	4	5	17	  D	 D	3	3	28	24
170	1	1	D	8	5	4	14	  D	 D	 D	D	  D	  D
171	2	D	1	8	2	4	19	  D	 D	9	3	35	29
172	2	D	1	4	D	  D	  D	  D	 D	3	7	50	36
173	2	D	1	1	3	5	19	  D	 D	9	7	  D	35
174	2	D	1	1	2	4	16	  D	 D	3	7	35	19
175	1	1	D	1	D	5	15	35	9	 D	D	  D	  D
176	1	1	D	1	D	10	19	40	1	 D	D	  D	  D
177	2	D	1	1	4	6	18	  D	 D	3	1	28	24
178	2	D	1	1	2	8	17	  D	 D	10	9	  D	32
179	2	D	1	2	3	8	19	  D	 D	3	5	28	22
180	2	D	1	4	4	5	22	  D	 D	3	1	40	48
181	2	D	1	4	4	7	21	  D	 D	1	D	40	50
182	2	D	1	1	4	18	  D	  D	 D	1	D	40	  D
183	2	D	1	1	2	8	19	  D	 D	5	7	40	36
184	2	D	1	4	4	6	18	  D	 D	9	4	33	31
185	2	D	1	1	5	8	18	  D	 D	1	6	35	36
186	2	D	1	8	4	7	17	  D	 D	3	1	35	28
187	2	D	1	1	6	15	20	  D	 D	6	6	50	38
188	2	D	1	4	5	5	17	  D	 D	3	D	35	30
189	1	1	D	1	6	7	18	40	1	 D	D	  D	  D
190	2	D	1	5	5	6	17	  D	 D	1	1	30	34
191	2	D	1	1	4	17	23	  D	 D	9	8	  D	39
192	2	D	1	4	4	18	26	  D	 D	1	8	35	35
193	2	D	1	1	2	7	  D	  D	 D	1	1	30	40
194	1	1	D	1	2	17	24	40	3	 D	D	  D	  D
195	2	D	1	3	3	8	10	  D	 D	7	D	  D	  D
196	2	D	1	4	4	12	21	  D	 D	2	D	40	23
197	2	D	1	1	2	16	21	  D	 D	1	D	30	20
198	2	D	1	4	4	3	20	  D	 D	3	8	31	31
199	2	D	1	8	2	4	19	  D	 D	3	D	  D	42
200	2	D	1	2	3	5	18	  D	 D	3	1	40	30
